"concept","code","name","level","parent"
"coicop18","CP01199","Other food products n.e.c. (ND)",5,"CP0119"
"coicop18","CP012","Non-alcoholic beverages",3,"CP01"
"coicop18","CP0121","Fruit and vegetable juices (ND)",4,"CP012"
"coicop18","CP01210","Fruit and vegetable juices (ND)",5,"CP0121"
"coicop18","CP0122","Coffee and coffee substitutes (ND)",4,"CP012"
"coicop18","CP01220","Coffee and coffee substitutes (ND)",5,"CP0122"
"coicop18","CP0123","Tea, maté and other plant-derived products for infusion (ND)",4,"CP012"
"coicop18","CP01230","Tea, maté and other plant-derived products for infusion (ND)",5,"CP0123"
"coicop18","CP0124","Cocoa drinks (ND)",4,"CP012"
"coicop18","CP01240","Cocoa drinks (ND)",5,"CP0124"
"coicop18","CP0125","Water (ND)",4,"CP012"
"coicop18","CP01250","Water (ND)",5,"CP0125"
"coicop18","CP0126","Soft drinks (ND)",4,"CP012"
"coicop18","CP01260","Soft drinks (ND)",5,"CP0126"
"coicop18","CP0129","Other non-alcoholic beverages (ND)",4,"CP012"
"coicop18","CP01290","Other non-alcoholic beverages (ND)",5,"CP0129"
"coicop18","CP013","Services for processing primary goods for food and non-alcoholic beverages",3,"CP01"
"coicop18","CP0130","Services for processing primary goods for food and non-alcoholic beverages (S)",4,"CP013"
"coicop18","CP01300","Services for processing primary goods for food and non-alcoholic beverages (S)",5,"CP0130"
"coicop18","CP02","Alcoholic beverages, tobacco and narcotics",2,"TOTAL"
"coicop18","CP021","Alcoholic beverages",3,"CP02"
"coicop18","CP0211","Spirits and liquors (ND)",4,"CP021"
"coicop18","CP02110","Spirits and liquors (ND)",5,"CP0211"
"coicop18","CP0212","Wine (ND)",4,"CP021"
"coicop18","CP02121","Wine from grapes (ND)",5,"CP0212"
"coicop18","CP02122","Wine from other sources (ND)",5,"CP0212"
"coicop18","CP0213","Beer (ND)",4,"CP021"
"coicop18","CP02130","Beer (ND)",5,"CP0213"
"coicop18","CP0219","Other alcoholic beverages (ND)",4,"CP021"
"coicop18","CP02190","Other alcoholic beverages (ND)",5,"CP0219"
"coicop18","CP022","Alcohol production services",3,"CP02"
"coicop18","CP0220","Alcohol production services (S)",4,"CP022"
